scenario_id,val_Brier,val_minADE,val_minAHE,val_minFDE,val_minFHE,val_minMR
7103fee0-bd5e-4fa3-a8e0-f9753ca1ecf7,0.2677931,2.0557263,0.18414499,5.7861447,0.12840486,1
7b5f62d4-8671-46c1-9341-289e730ba193,0.23437992,1.719845,0.1152914,3.8228877,0.21951866,1
06e568ca-454b-4cd2-819e-77c54f024288,0.82116604,3.3273032,0.0628412,5.747794,0.111973524,1
dc650b19-e082-4c60-9f65-50214a0363d6,0.93361336,1.2786365,0.060226545,2.6246653,0.12902188,1
af678799-53df-4c33-a827-3daa31c1679d,0.91051155,5.0629983,0.6141484,8.551091,1.5582387,1
a2d64451-4a91-4c5e-898a-3082fb47fd29,0.93075025,2.53771,0.10326555,9.862284,0.028984547,1
9dcf878b-f6d1-4e54-9001-ade8d8ef68a4,0.8969462,1.4239883,0.048343856,2.138801,0.23047471,1
9b3d31c3-aeaa-4a38-8bd1-e4729a175df9,0.060500104,2.4207861,0.13832219,2.2365153,0.22014403,1
bd8b1407-3a58-4278-bf78-14225acf443e,0.89337605,2.4219441,0.022706592,4.9576964,0.04993701,1
705bf89c-7464-4f36-bec3-ee61d2b2f174,0.5275984,1.4254262,0.044169027,2.8590143,0.23375058,1
9a63af2b-0036-445f-9761-f3cdada9fa4a,0.5069586,1.3545588,0.010004449,3.758235,0.026998758,1
4547b93a-59b3-40b7-8301-b997e01418fe,0.9807446,1.3648584,0.37726066,2.7842853,0.031277418,1
c9e1ef14-a7c9-458c-984a-693e997168ce,0.5334978,1.7684443,0.12752816,2.4748204,0.22941661,1
1deb3b8d-2509-45b8-860c-061bb0f69d64,0.6036677,1.3360331,0.037854366,3.0203705,0.051422596,1
ee66794f-4e8a-41c2-846f-df9c86a15075,0.51301825,1.1485374,0.27431574,2.0550785,0.15429783,1
132448b9-a31a-4497-9329-15f7ff762565,0.41408232,1.8585423,0.15499045,4.0108905,0.4074068,1
cbb7c9b4-4d9b-449d-889b-b4505a64c614,0.59074706,1.1279818,0.14563437,3.2597358,0.49963808,1
4cf6ccd9-91c3-4f48-999c-4f70449c70e3,0.8910793,1.1982564,0.048900526,2.9333944,0.21395516,1
189ca4bd-fce3-4f71-b4f0-74cfccc520fa,0.64486355,3.39909,0.372186,8.286551,1.4390491,1
6bbc89fa-8f33-4fcc-8f23-96a11021c0f9,0.4404562,2.0944974,0.051042065,3.1459558,0.16916776,1
bd3cf4fb-bfdf-4e9c-b51d-0eb6b76df601,0.51048505,2.6961806,0.47086328,5.846924,1.5670426,1
11e6af75-d405-4ec1-82d0-88c9a10afd7a,0.8441387,1.8782732,0.24823926,5.3086104,0.2645805,1
e2b21342-ae34-49ca-b8ec-0e4b58e8577d,0.7794676,1.869453,0.04728147,2.0100546,0.131459,1
85d54fed-a4d1-4791-93e2-364c05352ec4,0.07590478,1.9169828,0.020210214,4.5047817,0.042194843,1
d305af4d-51e0-4f99-9a87-358839136fa3,0.9539159,1.8592321,0.20667852,2.0485487,2.5143454,1
0de95363-daa1-4644-96e7-567b659a02cb,0.8209906,1.5088738,0.015178179,3.3776488,0.065933704,1
d3256c03-c2e5-4868-80b1-11e08df9ac16,0.99786776,2.6537573,0.022498695,7.787487,0.024906397,1
ae1863c5-4eee-47bb-9a6d-a0273d0d7faf,0.72578824,1.9300635,0.045297407,4.95532,0.031819105,1
1b6edd0f-4851-48e8-834f-8d627cd3a43c,0.68370366,1.1571977,0.018734984,2.0592074,0.011817932,1
165cc1b1-8711-44a6-9215-ca2bc24e0377,0.59620655,1.1998782,0.06187998,2.9084668,0.14039016,1
c96f89c4-19ba-4d7f-a7b8-f828540602fa,0.4289272,1.4794565,0.108507045,2.2642422,0.45202684,1
76531c4e-db1d-47f8-99c7-0312c3ef5404,0.96392775,1.6464806,0.017496744,2.5814168,0.015557051,1
c984fdf6-72a6-4e60-bb20-a8e573d05f46,0.99990845,2.5862978,0.029431872,2.039054,0.06912589,1
ce420b1d-0609-40d9-8f95-6e3e506903fe,0.93350935,2.566764,0.02642755,3.7383595,0.011235476,1
46b85132-a1e9-4ec4-9a6b-38f77b6637b7,0.45275924,3.235925,0.104119875,9.542056,0.2794268,1
0aca9038-6b7e-42d5-b52c-dea3645284b5,0.9382424,2.331967,0.63770074,5.5384903,1.078088,1
071c1803-0af9-440f-b634-4e907a162298,0.85617757,1.5140646,0.005037721,2.2298694,0.00868535,1
ad46ee1e-1022-4cad-a966-f9ead8f08e9f,0.627225,1.7075967,0.0988046,2.0437374,0.012700796,1
1f5402c3-8dd7-47c9-ba31-c58cdbc1a749,0.03089272,1.3859496,0.09846536,2.515385,3.0906098,1
97b9c724-6d74-4a4e-8dd5-fa21426b3898,0.34156927,1.392965,0.026467586,4.50121,0.2105403,1
1e83235b-7564-4c32-b3a0-02fe2e062833,0.99885863,4.5054717,1.0478047,15.717884,2.2907631,1
b8cb002a-2151-4f26-8ed4-2714bd914bd4,0.9299311,1.4816797,0.019078664,2.8864017,0.01493001,1
64a9e24d-a95d-40ea-9dc8-1769ded4d641,0.46286616,1.5794073,0.0272379,3.009078,0.080199,1
2861d6e7-db61-4a7f-aef0-fce2a6d200b5,0.41593432,1.8337415,0.11277666,1.9936312,0.31144023,0
3154f232-587b-4728-97ec-fefba7662177,0.9891298,2.4077306,0.1453522,4.778018,0.0320127,1
eff984de-91a2-4dba-94e8-12054fcd7aba,0.668483,1.8511952,1.7933396,3.460478,2.3116095,1
934e176e-fd2e-4f28-be43-9877864073bd,0.49626687,2.3446207,0.06474956,2.0480676,0.061892748,1
2d8734ee-eea4-4242-8daa-5e1739d31311,0.22941682,1.502953,0.13553244,2.9652643,0.6450505,1
a5f7d2e0-6c59-4131-bbcc-ab2dc18d61e8,0.8917397,2.3539236,0.020435922,7.282918,0.013206482,1
ebc1e0d3-7e0f-42a8-b6ae-c2908fd1caf9,0.9995747,2.120645,0.12987337,2.6575978,2.9870121,1
1aa57901-01db-4c70-bcbf-001a7e9a66b2,0.06737405,1.6948516,0.060112715,5.5806766,0.05704093,1
